initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS43771.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43771.1,MUC6
CCDS43772.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43772.1,CACNA1C
CCDS43773.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43773.1,LINGO1
CCDS43774.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43774.1,CACNA1H
CCDS43775.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43775.1,SCN4A
CCDS43896.1,None,None,None,,CCDS43896.1,SDK2
CCDS43905.1,ENSG00000148400,NOTCH1,notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881],CCDS,CCDS43905.1,SBNO2
CCDS43909.1,ENSG00000107331,ABCA2,ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32],CCDS,CCDS43909.1,SMARCA4
CCDS44342.1,ENSG00000162849,KIF26B,kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484],CCDS,CCDS44342.1,CACNA1A
CCDS44513.1,ENSG00000184956,MUC6,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",CCDS,CCDS44513.1,BICRA
CCDS44787.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44787.1,MYO7B
CCDS44788.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44788.1,KIF1A
CCDS44789.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44789.1,SNED1
CCDS44790.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44790.1,CACNA1I
CCDS44791.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44791.1,SCN5A
CCDS44792.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44792.1,DNAH1
CCDS44793.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44793.1,INTS1
CCDS44794.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44794.1,TNRC18
CCDS44795.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44795.1,AJM1
CCDS44796.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44796.1,MYO7A
CCDS44797.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44797.1,PIEZO1
CCDS44798.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44798.1,MUC4
CCDS44799.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44799.1,NCOR2
CCDS44800.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44800.1,OBSCN
CCDS44801.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS44801.1,ZNF865
CCDS45313.1,ENSG00000169783,LINGO1,leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205],CCDS,CCDS45313.1,ELFN1
CCDS45375.1,ENSG00000196557,CACNA1H,calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395],CCDS,CCDS45375.1,ADGRB1
CCDS45376.1,ENSG00000196557,CACNA1H,calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395],CCDS,CCDS45376.1,KCNT1
CCDS45385.1,ENSG00000008710,PKD1,"polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]",CCDS,CCDS45385.1,BAHCC1
CCDS45761.1,ENSG00000007314,SCN4A,sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591],CCDS,CCDS45761.1,EPPK1
CCDS45769.1,ENSG00000069188,SDK2,sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308],CCDS,CCDS45769.1,CDH23
CCDS45894.1,ENSG00000064932,SBNO2,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158],CCDS,CCDS45894.1,CHD5
CCDS45895.1,ENSG00000064932,SBNO2,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158],CCDS,CCDS45895.1,TAS1R2
CCDS45972.1,ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",CCDS,CCDS45972.1,SLIT3
CCDS45973.1,ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",CCDS,CCDS45973.1,KCNH2
CCDS45998.1,ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],CCDS,CCDS45998.1,NTNG2
CCDS45999.1,ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],CCDS,CCDS45999.1,NRXN2
CCDS46134.1,ENSG00000063169,BICRA,BRD4 interacting chromatin remodeling complex associated protein [Source:HGNC Symbol;Acc:HGNC:4332],CCDS,CCDS46134.1,EEF2
CCDS46405.1,ENSG00000169994,MYO7B,myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607],CCDS,CCDS46405.1,PTPRS
CCDS46561.1,ENSG00000130294,KIF1A,kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888],CCDS,CCDS46561.1,PLXNB3
CCDS46562.1,ENSG00000162804,SNED1,"sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]",CCDS,CCDS46562.1,KIF21B
CCDS46710.1,ENSG00000100346,CACNA1I,calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396],CCDS,CCDS46710.1,TPCN1
CCDS46711.1,ENSG00000100346,CACNA1I,calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396],CCDS,CCDS46711.1,SCAF1
CCDS46796.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS46796.1,HELZ2
CCDS46797.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS46797.1,ATP2B3
CCDS46798.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS46798.1,MEGF6
CCDS46799.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS46799.1,NOS1
CCDS46842.1,ENSG00000114841,DNAH1,dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940],CCDS,CCDS46842.1,ABCC1
CCDS47526.1,ENSG00000164880,INTS1,integrator complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24555],CCDS,CCDS47526.1,SPEG
CCDS47534.1,ENSG00000182095,TNRC18,trinucleotide repeat containing 18 [Source:HGNC Symbol;Acc:HGNC:11962],CCDS,CCDS47534.1,NPC1L1
CCDS47705.1,ENSG00000128591,FLNC,filamin C [Source:HGNC Symbol;Acc:HGNC:3756],CCDS,CCDS47705.1,ZNF629
CCDS47936.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS47936.1,CACNA1F
CCDS48059.1,ENSG00000232434,AJM1,apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284],CCDS,CCDS48059.1,CACNA1B
CCDS53683.1,ENSG00000137474,MYO7A,myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606],CCDS,CCDS53683.1,MUC5AC
CCDS53684.1,ENSG00000137474,MYO7A,myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606],CCDS,CCDS53684.1,KLF18
CCDS53733.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS53733.1,GPR153
CCDS53734.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS53734.1,CELSR2
CCDS53735.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS53735.1,SLC7A10
CCDS53736.1,ENSG00000151067,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CCDS,CCDS53736.1,SCUBE1
CCDS54058.1,ENSG00000103335,PIEZO1,piezo type mechanosensitive ion channel component 1 [Source:HGNC Symbol;Acc:HGNC:28993],CCDS,CCDS54058.1,ANO9
CCDS54217.1,ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",CCDS,CCDS54217.1,DAGLA
CCDS54218.1,ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",CCDS,CCDS54218.1,HCFC1
CCDS54569.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS54569.1,CLUH
CCDS54570.1,ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593],CCDS,CCDS54570.1,MYO9B
CCDS54700.1,ENSG00000145113,MUC4,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",CCDS,CCDS54700.1,GRID2IP
CCDS55892.1,ENSG00000196498,NCOR2,nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673],CCDS,CCDS55892.1,MEGF8
CCDS58065.1,ENSG00000154358,OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:HGNC Symbol;Acc:HGNC:15719]",CCDS,CCDS58065.1,BMP1
CCDS58599.1,ENSG00000132470,ITGB4,integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158],CCDS,CCDS58599.1,JPH3
CCDS58663.1,ENSG00000105409,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801],CCDS,CCDS58663.1,RTP5
CCDS58664.1,ENSG00000105409,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801],CCDS,CCDS58664.1,CACNA1G
CCDS58681.1,ENSG00000261221,ZNF865,zinc finger protein 865 [Source:HGNC Symbol;Acc:HGNC:38705],CCDS,CCDS58681.1,GRIK3
CCDS58757.1,ENSG00000130294,KIF1A,kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888],CCDS,CCDS58757.1,ACTA1
CCDS59046.1,ENSG00000225968,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],CCDS,CCDS59046.1,CHST1
CCDS59204.1,ENSG00000154358,OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:HGNC Symbol;Acc:HGNC:15719]",CCDS,CCDS59204.1,SIGLEC1
CCDS60082.1,ENSG00000121904,CSMD2,CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:HGNC:19290],CCDS,CCDS60082.1,TENM4
CCDS64985.1,ENSG00000181790,ADGRB1,adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943],CCDS,CCDS64985.1,CSPG4
CCDS65188.1,ENSG00000107147,KCNT1,potassium sodium-activated channel subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:18865],CCDS,CCDS65188.1,SLC7A5
CCDS73264.1,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],CCDS,CCDS73264.1,ZFPM1
CCDS73766.1,ENSG00000169783,LINGO1,leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205],CCDS,CCDS73766.1,DNAH2
CCDS74173.1,ENSG00000266074,BAHCC1,BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279],CCDS,CCDS74173.1,CPSF1
CCDS74497.1,ENSG00000115155,OTOF,otoferlin [Source:HGNC Symbol;Acc:HGNC:8515],CCDS,CCDS74497.1,EVPL
CCDS75800.1,ENSG00000261150,EPPK1,epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577],CCDS,CCDS75800.1,MYO1F
CCDS82204.1,ENSG00000177728,TMEM94,transmembrane protein 94 [Source:HGNC Symbol;Acc:HGNC:28983],CCDS,CCDS82204.1,LRRC4B
CCDS82300.1,ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],CCDS,CCDS82300.1,MAST3
CCDS82301.1,ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],CCDS,CCDS82301.1,SLC12A3
CCDS82302.1,ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],CCDS,CCDS82302.1,TXNDC2
CCDS82424.1,ENSG00000138031,ADCY3,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234],CCDS,CCDS82424.1,OTOG
CCDS86100.1,ENSG00000107736,CDH23,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733],CCDS,CCDS86100.1,KCNK12
CCDS86183.1,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],CCDS,CCDS86183.1,SLC6A3
CCDS86184.1,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],CCDS,CCDS86184.1,ARHGAP39
CCDS86185.1,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],CCDS,CCDS86185.1,SLC4A11
CCDS57.1,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816],CCDS,CCDS57.1,ATP2A1
CCDS187.1,ENSG00000179002,TAS1R2,taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905],CCDS,CCDS187.1,SLC6A19
CCDS4369.1,ENSG00000184347,SLIT3,slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087],CCDS,CCDS4369.1,SLC6A9
CCDS5910.1,ENSG00000055118,KCNH2,potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251],CCDS,CCDS5910.1,SLC9A3
CCDS6946.1,ENSG00000196358,NTNG2,netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288],CCDS,CCDS6946.1,SLC12A7
CCDS8077.1,ENSG00000110076,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009],CCDS,CCDS8077.1,HCN2
CCDS12117.1,ENSG00000167658,EEF2,eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214],CCDS,CCDS12117.1,GRM4
CCDS12140.1,ENSG00000105426,PTPRS,protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681],CCDS,CCDS12140.1,AGRN
CCDS12253.1,ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",CCDS,CCDS12253.1,STAB1
CCDS14256.1,None,None,None,,CCDS14256.1,ADAMTS2
CCDS14729.1,ENSG00000198753,PLXNB3,plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105],CCDS,CCDS14729.1,SALL3
CCDS30965.1,ENSG00000116852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],CCDS,CCDS30965.1,DLGAP4
CCDS31597.1,ENSG00000110076,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009],CCDS,CCDS31597.1,TLR9
CCDS31908.1,ENSG00000186815,TPCN1,two pore segment channel 1 [Source:HGNC Symbol;Acc:HGNC:18182],CCDS,CCDS31908.1,FBXL7
CCDS32744.1,ENSG00000129667,RHBDF2,rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788],CCDS,CCDS32744.1,RAI1
CCDS33074.1,ENSG00000126461,SCAF1,SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403],CCDS,CCDS33074.1,FLRT1
CCDS33508.1,ENSG00000130589,HELZ2,helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021],CCDS,CCDS33508.1,ADCY9
