Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
YAL028W,46,0.08695652173913043,1587,-0.4629060215573586,0.5370939784426414,nonsignificant,42,46,529,gene
YAL027W,24,0.0916030534351145,786,-0.33018464240058343,0.6698153575994166,nonsignificant,22,24,262,gene
YAL026C-A,13,0.08904109589041095,438,-0.22717000731555248,0.7728299926844475,nonsignificant,12,13,146,gene
YAL026C,102,0.0752212389380531,4068,0.5543994671023234,0.44560053289767665,nonsignificant,110,102,1356,gene
YAL025C,20,0.06514657980456026,921,0.0,1.0,nonsignificant,20,20,307,gene
YAL024C,98,0.06824512534818941,4308,0.9553902819750605,0.04460971802493953,nonsignificant,120,98,1436,gene
YAL023C,86,0.11315789473684211,2280,-0.9998775376734546,0.00012246232654541248,enriched,57,86,760,gene
YAL022C,75,0.14478764478764478,1554,-0.999992255783569,7.744216431044088e-06,enriched,45,75,518,gene
YAL021C,79,0.09427207637231504,2514,-0.997884393484147,0.0021156065158529943,nonsignificant,56,79,838,gene
YAL020C,33,0.09880239520958084,1002,-0.9338074202778065,0.06619257972219346,nonsignificant,24,33,334,gene
YAL019W-A,43,0.22631578947368422,570,-0.9999999632874815,3.6712518520789834e-08,enriched,19,43,190,gene
YAL019W,86,0.07597173144876325,3396,-0.08637333893714094,0.9136266610628591,nonsignificant,85,86,1132,gene
YAL018C,20,0.06134969325153374,978,0.6826894921370888,0.31731050786291115,nonsignificant,25,20,326,gene
YAL017W,94,0.06927044952100221,4071,0.7911585168451722,0.2088414831548277,nonsignificant,107,94,1357,gene
YAL016C-B,1,0.016129032258064516,186,0.8663855974622842,0.13361440253771584,nonsignificant,4,1,62,gene
YAL016C-A,14,0.13333333333333333,315,-0.6342877037184869,0.36571229628151314,nonsignificant,11,14,105,gene
YAL016W,52,0.08176100628930817,1908,0.2145052528816459,0.7854947471183541,nonsignificant,54,52,636,gene
YAL015C,39,0.0975,1200,-0.7840750610598632,0.21592493894013678,nonsignificant,32,39,400,gene
YAL014C,15,0.05859375,768,0.1974126513658474,0.8025873486341526,nonsignificant,16,15,256,gene
YAL013W,54,0.1330049261083744,1218,-0.9999991055268175,8.944731824900335e-07,enriched,28,54,406,gene
YAL012W,79,0.2,1185,-0.9999999999992315,7.684583211526342e-13,enriched,36,79,395,gene
YAL011W,53,0.08466453674121406,1878,-0.766962017726098,0.23303798227390204,nonsignificant,45,53,626,gene
YAL010C,42,0.08502024291497975,1482,-0.4835877316039616,0.5164122683960384,nonsignificant,38,42,494,gene
YAL009W,26,0.1,780,-0.4683854231183877,0.5316145768816123,nonsignificant,23,26,260,gene
YAL008W,14,0.07035175879396985,597,0.0,1.0,nonsignificant,14,14,199,gene
YAL007C,22,0.10185185185185185,648,-0.34527915398142317,0.6547208460185768,nonsignificant,20,22,216,gene
YAL005C,87,0.13530326594090203,1929,-0.9999840309740192,1.5969025980790482e-05,enriched,55,87,643,gene
YAL004W,37,0.1712962962962963,648,-0.9999924775316924,7.522468307632617e-06,enriched,18,37,216,gene
YAL003W,29,0.14009661835748793,621,-0.9963906530640546,0.00360934693594544,nonsignificant,17,29,207,gene
YAL002W,88,0.06901960784313725,3825,0.8041785260773892,0.19582147392261087,nonsignificant,101,88,1275,gene
YAL001C,69,0.059431524547803614,3483,0.99235920517529,0.007640794824709996,nonsignificant,95,69,1161,gene
YAR002W,46,0.08518518518518518,1620,0.33176485820475066,0.6682351417952493,nonsignificant,49,46,540,gene
YAR002C-A,13,0.05909090909090909,660,0.5467452952462637,0.4532547047537363,nonsignificant,16,13,220,gene
YAR003W,25,0.0585480093676815,1281,0.8772874052718304,0.12271259472816963,nonsignificant,34,25,427,gene
YAR007C,54,0.08681672025723473,1866,-0.5249494759460471,0.47505052405395287,nonsignificant,49,54,622,gene
YAR008W,15,0.05434782608695652,828,0.7364475227170304,0.26355247728296954,nonsignificant,20,15,276,gene
YAR009C,93,0.07769423558897243,3591,0.386494733872089,0.613505266127911,nonsignificant,98,93,1197,gene
YAR010C,43,0.09750566893424037,1323,-0.47816060966638485,0.5218393903336151,nonsignificant,39,43,441,gene
YAR014C,40,0.056338028169014086,2130,0.9039076705443266,0.0960923294556734,nonsignificant,52,40,710,gene
YAR015W,30,0.09771986970684039,921,-0.7793286380801567,0.22067136191984324,nonsignificant,24,30,307,gene
YAR018C,33,0.07568807339449542,1308,-0.416117579229635,0.583882420770365,nonsignificant,30,33,436,gene
YAR019C,107,0.10974358974358975,2925,-0.9915699531215295,0.00843004687847052,nonsignificant,83,107,975,gene
YAR019W-A,9,0.08108108108108109,333,0.0,1.0,nonsignificant,9,9,111,gene
YAR020C,12,0.21428571428571427,168,-0.9856941215645704,0.014305878435429641,nonsignificant,6,12,56,gene
YAR023C,11,0.06111111111111111,540,0.6983004175216551,0.30169958247834494,nonsignificant,15,11,180,gene
YAR027W,17,0.07203389830508475,708,0.497665045639498,0.502334954360502,nonsignificant,20,17,236,gene
YAR028W,23,0.09787234042553192,705,-0.497665045639498,0.502334954360502,nonsignificant,20,23,235,gene
YAR029W,1,0.013333333333333334,225,0.8663855974622842,0.13361440253771584,nonsignificant,4,1,75,gene
YAR030C,12,0.10526315789473684,342,-0.9412182786446411,0.05878172135535891,nonsignificant,7,12,114,gene
YAR031W,21,0.07023411371237458,897,0.16882959045823764,0.8311704095417624,nonsignificant,22,21,299,gene
YAR033W,29,0.12340425531914893,705,-0.9558286550915573,0.04417134490844271,nonsignificant,20,29,235,gene
YAR035W,133,0.1933139534883721,2064,-1.0,6.993365721441541e-23,enriched,58,133,688,gene
YAR035C-A,2,0.07407407407407407,81,0.0,1.0,nonsignificant,2,2,27,gene
YAR042W,153,0.12867956265769553,3567,-0.9999999999994982,5.018553405068218e-13,enriched,86,153,1189,gene
YAR047C,7,0.06542056074766354,321,0.0,1.0,nonsignificant,7,7,107,gene
YAR050W,293,0.1905071521456437,4614,-0.9999999998473847,1.5261530256289638e-10,enriched,202,293,1538,gene
YAR053W,5,0.050505050505050504,297,0.817577560548268,0.18242243945173198,nonsignificant,9,5,99,gene
YAR060C,11,0.09821428571428571,336,-0.4950149249061543,0.5049850750938457,nonsignificant,9,11,112,gene
YAR061W,37,0.11044776119402985,1006,-0.9986162087598353,0.0013837912401647972,nonsignificant,22,37,335,gene
YAR064W,8,0.08,300,-0.2945430138887266,0.7054569861112734,nonsignificant,7,8,100,gene
YAR066W,32,0.1568627450980392,612,-0.9927096419084643,0.0072903580915356595,nonsignificant,20,32,204,gene
YAR068W,2,0.012345679012345678,486,0.9977180627466845,0.002281937253315446,nonsignificant,13,2,162,gene
YAR069C,8,0.08163265306122448,294,0.0,1.0,nonsignificant,8,8,98,gene
YAR070C,13,0.13,300,-0.9766577979871092,0.02334220201289086,nonsignificant,7,13,100,gene
YAR071W,60,0.1282051282051282,1404,-0.9999366575163338,6.334248366623988e-05,enriched,36,60,468,gene
YAR073W,46,0.11386138613861387,1212,-0.9763648980171661,0.02363510198283392,nonsignificant,33,46,404,gene
YAR075W,17,0.10759493670886076,474,-0.929559570727912,0.070440429272088,nonsignificant,11,17,158,gene
YBL113C,114,0.1437578814627995,2379,-0.9995903827720994,0.0004096172279005813,enriched,82,114,793,gene
YBL113W-A,18,0.11180124223602485,483,-0.834482141302534,0.16551785869746605,nonsignificant,13,18,161,gene
YBL112C,5,0.04716981132075472,318,0.5503082020311092,0.4496917979688908,nonsignificant,7,5,106,gene
YBL111C,58,0.08682634730538923,2004,-0.5946194435410576,0.40538055645894244,nonsignificant,52,58,668,gene
YBL109W,21,0.1875,336,-0.999495781770551,0.0005042182294490053,nonsignificant,10,21,112,gene
YBL108C-A,11,0.2558139534883721,129,-0.9995347418419289,0.0004652581580710503,nonsignificant,4,11,43,gene
YBL108W,7,0.06862745098039216,306,0.0,1.0,nonsignificant,7,7,102,gene
YBL107W-A,2,0.05714285714285714,105,0.6826894921370888,0.31731050786291115,nonsignificant,4,2,35,gene
YBL107C,4,0.02030456852791878,591,0.9924736848335421,0.007526315166457882,nonsignificant,14,4,197,gene
YBL106C,81,0.08011869436201781,3033,0.7866262929068851,0.21337370709311487,nonsignificant,93,81,1011,gene
YBL105C,71,0.06163194444444445,3456,0.8711149267671099,0.12888507323289014,nonsignificant,85,71,1152,gene
YBL104C,79,0.07603464870067372,3117,0.1758591042581148,0.8241408957418852,nonsignificant,81,79,1039,gene
YBL103C,32,0.06570841889117043,1461,0.5889202212766846,0.41107977872331536,nonsignificant,37,32,487,gene
YBL102W,17,0.0787037037037037,648,0.0,1.0,nonsignificant,17,17,216,gene
YBL101C,98,0.08765652951699464,3354,0.08005561918299264,0.9199443808170074,nonsignificant,99,98,1118,gene
YBL100W-C,3,0.075,120,-0.5204998778130466,0.47950012218695337,nonsignificant,2,3,40,gene
YBL100W-A,32,0.07289293849658314,1317,0.4950149249061543,0.5049850750938457,nonsignificant,36,32,439,gene
YBL100W-B,125,0.07058159232072275,5313,0.8866544907804731,0.11334550921952692,nonsignificant,144,125,1771,gene
YBL100C,11,0.10476190476190476,315,-0.24817036595415076,0.7518296340458492,nonsignificant,10,11,105,gene
YBL099W,76,0.1391941391941392,1638,-0.9997639655834707,0.00023603441652934905,enriched,50,76,546,gene
YBL098W,33,0.07158351409978309,1383,0.2646833093626595,0.7353166906373405,nonsignificant,35,33,461,gene
YBL097W,39,0.051655629139072845,2265,0.9285765422701479,0.07142345772985215,nonsignificant,52,39,755,gene
YBL096C,15,0.14563106796116504,309,-0.9544997361036415,0.04550026389635857,nonsignificant,9,15,103,gene
YBL095W,18,0.06642066420664207,813,0.1814541916179565,0.8185458083820435,nonsignificant,19,18,271,gene
YBL094C,12,0.10810810810810811,333,-0.842700792949719,0.15729920705028105,nonsignificant,8,12,111,gene
YBL093C,12,0.05429864253393665,663,0.6826894921370888,0.31731050786291115,nonsignificant,16,12,221,gene
YBL092W,18,0.13740458015267176,393,-0.9651915211881328,0.03480847881186725,nonsignificant,11,18,131,gene
YBL091C-A,21,0.11931818181818182,528,-0.8786647496415179,0.12133525035848208,nonsignificant,15,21,176,gene
YBL091C,44,0.10426540284360189,1266,-0.9894128626659431,0.010587137334056926,nonsignificant,30,44,422,gene
YBL090W,12,0.06741573033707865,534,0.4070199019825733,0.5929800980174267,nonsignificant,14,12,178,gene
YBL089W,34,0.07391304347826087,1380,0.8300881582685118,0.16991184173148816,nonsignificant,43,34,460,gene
YBL088C,179,0.06420373027259685,8364,0.930617166276525,0.06938283372347494,nonsignificant,205,179,2788,gene
YBL087C,24,0.17391304347826086,414,-0.9994679944948608,0.0005320055051392492,nonsignificant,12,24,138,gene
YBL086C,27,0.057815845824411134,1401,0.8663855974622842,0.13361440253771584,nonsignificant,36,27,467,gene
YBL085W,79,0.08053007135575943,2943,0.33937979363280224,0.6606202063671978,nonsignificant,83,79,981,gene
YBL084C,50,0.06587615283267458,2277,0.6461630993152708,0.35383690068472917,nonsignificant,57,50,759,gene
YBL083C,20,0.14084507042253522,426,-0.9790786646622059,0.020921335337794035,nonsignificant,12,20,142,gene
YBL082C,56,0.12200435729847495,1377,-0.999614253244318,0.00038574675568200776,enriched,35,56,459,gene
YBL081W,38,0.10298102981029811,1107,-0.8558729651839888,0.14412703481601116,nonsignificant,30,38,369,gene
YBL080C,44,0.08118081180811808,1626,-0.36058814719662513,0.6394118528033749,nonsignificant,41,44,542,gene
YBL079W,128,0.08516300731869594,4509,-0.07070800107437059,0.9292919989256294,nonsignificant,127,128,1503,gene
YBL078C,7,0.059322033898305086,354,0.6572182888520912,0.34278171114790873,nonsignificant,10,7,118,gene
YBL077W,7,0.04861111111111111,432,0.8510853268212384,0.14891467317876161,nonsignificant,12,7,144,gene
YBL076C,103,0.09599254426840634,3219,-0.9718568541037385,0.028143145896261552,nonsignificant,83,103,1073,gene
YBL075C,50,0.07692307692307693,1950,0.6461630993152708,0.35383690068472917,nonsignificant,57,50,650,gene
YBL074C,24,0.06741573033707865,1068,-0.33018464240058343,0.6698153575994166,nonsignificant,22,24,356,gene
YBL073W,11,0.10576923076923077,312,-0.869429981884263,0.13057001811573693,nonsignificant,7,11,104,gene
YBL072C,25,0.12437810945273632,603,-0.9010398459805948,0.09896015401940522,nonsignificant,18,25,201,gene
YBL071C-B,1,0.030303030303030304,99,0.0,1.0,nonsignificant,1,1,33,gene
YBL071W-A,10,0.12048192771084337,249,-0.8975295651402506,0.10247043485974942,nonsignificant,6,10,83,gene
YBL071C,10,0.0970873786407767,309,-0.5204998778130466,0.47950012218695337,nonsignificant,8,10,103,gene
YBL070C,9,0.08411214953271028,321,0.0,1.0,nonsignificant,9,9,107,gene
YBL069W,35,0.08139534883720931,1290,-0.2722764533304498,0.7277235466695502,nonsignificant,33,35,430,gene
YBL068W-A,9,0.11392405063291139,237,-0.9263617298796974,0.07363827012030258,nonsignificant,5,9,79,gene
YBL068W,28,0.0856269113149847,981,0.28499934531191085,0.7150006546880892,nonsignificant,30,28,327,gene
YBL067C,36,0.0481283422459893,2244,0.9895916538121982,0.01040834618780184,nonsignificant,55,36,748,gene
YBL066C,92,0.08006962576153177,3447,0.31690860169039137,0.6830913983096086,nonsignificant,96,92,1149,gene
YBL065W,8,0.06956521739130435,345,0.0,1.0,nonsignificant,8,8,115,gene
YBL064C,31,0.1183206106870229,786,-0.9047071619765434,0.0952928380234566,nonsignificant,23,31,262,gene
YBL063W,90,0.08093525179856115,3336,-0.4124061520443425,0.5875938479556575,nonsignificant,85,90,1112,gene
YBL062W,10,0.07874015748031496,381,-0.26111731963647267,0.7388826803635273,nonsignificant,9,10,127,gene
YBL061C,27,0.03873744619799139,2091,0.9994734557103516,0.000526544289648366,nonsignificant,52,27,697,gene
YBL060W,52,0.0755813953488372,2064,-0.11136213910499215,0.8886378608950078,nonsignificant,51,52,688,gene
YBL059C-A,5,0.045454545454545456,330,0.31690860169039137,0.6830913983096086,nonsignificant,6,5,110,gene
YBL059W,10,0.05154639175257732,582,0.8663855974622842,0.13361440253771584,nonsignificant,16,10,194,gene
YBL058W,35,0.08254716981132075,1272,-0.5275023859993115,0.47249761400068846,nonsignificant,31,35,424,gene
YBL057C,10,0.04784688995215311,627,0.9610525442579747,0.03894745574202525,nonsignificant,19,10,209,gene
YBL056W,26,0.05543710021321962,1407,0.8299330385460992,0.17006696145390077,nonsignificant,34,26,469,gene
YBL055C,22,0.05250596658711217,1257,0.8940024515750548,0.10599754842494528,nonsignificant,31,22,419,gene
YBL054W,33,0.06273764258555133,1578,0.9263617298796974,0.07363827012030258,nonsignificant,45,33,526,gene
YBL053W,12,0.096,375,0.4070199019825733,0.5929800980174267,nonsignificant,14,12,125,gene
YBL052C,58,0.06971153846153846,2496,0.20374658526236078,0.7962534147376392,nonsignificant,60,58,832,gene
YBL051C,57,0.08520179372197309,2007,-0.4172980178660517,0.5827019821339483,nonsignificant,53,57,669,gene
YBL050W,13,0.04436860068259386,879,0.8313313811121888,0.16866861888781112,nonsignificant,19,13,293,gene
YBL049W,13,0.09352517985611511,417,-0.817577560548268,0.18242243945173198,nonsignificant,9,13,139,gene
YBL048W,11,0.10576923076923077,312,-0.7111556336535182,0.2888443663464818,nonsignificant,8,11,104,gene
YBL047C,113,0.08176555716353111,4146,0.3546899906542783,0.6453100093457217,nonsignificant,118,113,1382,gene
YBL046W,21,0.04751131221719457,1326,0.6732004323310368,0.3267995676689632,nonsignificant,26,21,442,gene
YBL045C,62,0.13537117903930132,1374,-0.9999604297500766,3.957024992345278e-05,enriched,37,62,458,gene
YBL044W,11,0.08943089430894309,369,-0.4950149249061543,0.5049850750938457,nonsignificant,9,11,123,gene
YBL043W,24,0.09302325581395349,774,-0.6289066304773024,0.37109336952269756,nonsignificant,20,24,258,gene
YBL042C,70,0.109375,1920,-0.9386311708605977,0.0613688291394023,nonsignificant,56,70,640,gene
YBL041W,18,0.0743801652892562,726,0.0,1.0,nonsignificant,18,18,242,gene
YBL040C,17,0.07727272727272727,660,0.0,1.0,nonsignificant,17,17,220,gene
YBL039W-B,3,0.05,180,0.3829249225480261,0.6170750774519739,nonsignificant,4,3,60,gene
YBL039C,47,0.08103448275862069,1740,-0.34892336592216566,0.6510766340778343,nonsignificant,44,47,580,gene
YBL039C-A,2,0.07142857142857142,84,-0.6826894921370888,0.31731050786291115,nonsignificant,1,2,28,gene
YBL038W,18,0.07725321888412018,699,-0.3829249225480261,0.6170750774519739,nonsignificant,16,18,233,gene
YBL037W,78,0.07602339181286549,3078,0.8270450820115833,0.17295491798841672,nonsignificant,91,78,1026,gene
YBL036C,18,0.06976744186046512,774,0.1814541916179565,0.8185458083820435,nonsignificant,19,18,258,gene
YBL035C,54,0.0764872521246459,2118,0.48491772129035693,0.5150822787096431,nonsignificant,59,54,706,gene
YBL034C,115,0.07595772787318363,4542,-0.29580455833929886,0.7041954416607011,nonsignificant,111,115,1514,gene
YBL033C,32,0.09248554913294797,1038,-0.7606834587785081,0.23931654122149193,nonsignificant,26,32,346,gene
YBL032W,67,0.17539267015706805,1146,-0.9999997616942934,2.383057066402791e-07,enriched,36,67,382,gene
YBL031W,28,0.08259587020648967,1017,0.28499934531191085,0.7150006546880892,nonsignificant,30,28,339,gene
YBL030C,38,0.11912225705329153,957,-0.9906776239525625,0.009322376047437499,nonsignificant,25,38,319,gene
YBL029C-A,10,0.10526315789473684,285,-0.9746526813225317,0.025347318677468325,nonsignificant,5,10,95,gene
YBL029W,40,0.10610079575596817,1131,-0.9589127754721786,0.04108722452782139,nonsignificant,29,40,377,gene
YBL028C,9,0.08411214953271028,321,-0.7793286380801567,0.22067136191984324,nonsignificant,6,9,107,gene
YBL027W,21,0.11052631578947368,570,-0.6680245329172658,0.3319754670827342,nonsignificant,17,21,190,gene
YBL026W,5,0.052083333333333336,288,0.31690860169039137,0.6830913983096086,nonsignificant,6,5,96,gene
YBL025W,12,0.0821917808219178,438,0.0,1.0,nonsignificant,12,12,146,gene
YBL024W,42,0.061313868613138686,2055,0.7924215576643795,0.20757844233562053,nonsignificant,51,42,685,gene
YBL023C,63,0.07249712313003452,2607,0.6575956656904745,0.3424043343095255,nonsignificant,71,63,869,gene
YBL022C,87,0.07671957671957672,3402,0.4661705782558603,0.5338294217441397,nonsignificant,93,87,1134,gene
YBL021C,12,0.08275862068965517,435,-0.23697539944700496,0.763024600552995,nonsignificant,11,12,145,gene
YBL020W,61,0.10608695652173913,1725,-0.9730077137275978,0.026992286272402254,nonsignificant,46,61,575,gene
YBL019W,35,0.0671785028790787,1563,0.5708046995596507,0.42919530044034926,nonsignificant,40,35,521,gene
YBL018C,6,0.04477611940298507,402,0.6826894921370888,0.31731050786291115,nonsignificant,9,6,134,gene
YBL017C,126,0.07974683544303797,4740,-0.5946194435410576,0.40538055645894244,nonsignificant,117,126,1580,gene
YBL016W,39,0.11016949152542373,1062,-0.9623646862126857,0.03763531378731436,nonsignificant,28,39,354,gene
YBL015W,55,0.10436432637571158,1581,-0.9327474957391693,0.06725250426083074,nonsignificant,43,55,527,gene
YBL014C,76,0.08491620111731843,2685,-0.36264811176606293,0.6373518882339371,nonsignificant,72,76,895,gene
YBL013W,35,0.08706467661691543,1206,-0.2722764533304498,0.7277235466695502,nonsignificant,33,35,402,gene
YBL012C,11,0.08208955223880597,402,-0.4950149249061543,0.5049850750938457,nonsignificant,9,11,134,gene
YBL011W,99,0.13026315789473683,2280,-0.9999878567521774,1.2143247822661191e-05,enriched,64,99,760,gene
YBL010C,14,0.0498220640569395,843,0.6542214138488399,0.3457785861511601,nonsignificant,18,14,281,gene
YBL009W,38,0.056129985228951254,2031,0.931296425677122,0.06870357432287802,nonsignificant,51,38,677,gene
YBL008W-A,6,0.075,240,0.0,1.0,nonsignificant,6,6,80,gene
YBL008W,58,0.06896551724137931,2523,0.877124611520669,0.12287538847933097,nonsignificant,71,58,841,gene
YBL007C,103,0.08273092369477912,3735,0.0,1.0,nonsignificant,103,103,1245,gene
YBL006C,15,0.08287292817679558,543,-0.21073197386571874,0.7892680261342813,nonsignificant,14,15,181,gene
YBL006W-A,2,0.04,150,0.6826894921370888,0.31731050786291115,nonsignificant,4,2,50,gene
YBL005W,60,0.06141248720573183,2931,0.9335425799830688,0.0664574200169312,nonsignificant,76,60,977,gene
YBL005W-A,40,0.09070294784580499,1323,-0.25439721107253854,0.7456027889274615,nonsignificant,38,40,441,gene
YBL005W-B,154,0.08769931662870159,5268,-0.3781265756692591,0.6218734243307409,nonsignificant,148,154,1756,gene
YBL004W,153,0.06134723336006415,7482,0.9973675196579342,0.002632480342065796,nonsignificant,195,153,2494,gene
YBL003C,12,0.09022556390977443,399,-0.23697539944700496,0.763024600552995,nonsignificant,11,12,133,gene
YBL002W,24,0.18181818181818182,396,-0.9924736848335421,0.007526315166457882,nonsignificant,14,24,132,gene
YBL001C,7,0.06666666666666667,315,0.4950149249061543,0.5049850750938457,nonsignificant,9,7,105,gene
YBR001C,30,0.03841229193341869,2343,0.999651424825787,0.00034857517421305355,depleted,57,30,781,gene
YBR002C,26,0.09059233449477352,861,-0.6062313653570074,0.3937686346429926,nonsignificant,22,26,287,gene
YBR003W,35,0.07383966244725738,1422,0.5708046995596507,0.42919530044034926,nonsignificant,40,35,474,gene
YBR004C,37,0.08525345622119816,1302,-0.2646833093626595,0.7353166906373405,nonsignificant,35,37,434,gene
YBR005W,10,0.04672897196261682,642,0.9746526813225317,0.025347318677468325,nonsignificant,20,10,214,gene
YBR006W,41,0.0823293172690763,1494,0.23963166994479723,0.7603683300552028,nonsignificant,43,41,498,gene
YBR007C,48,0.06512890094979647,2211,0.8108387274047959,0.18916127259520416,nonsignificant,58,48,737,gene
YBR008C,46,0.08378870673952642,1647,0.0,1.0,nonsignificant,46,46,549,gene
