Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
CCDS104.1,227,0.21722488038277513,3135,-0.9999999999999161,8.389472369953626e-14,enriched,139,227,1045,gene
CCDS105.1,177,0.18209876543209877,2916,-0.9998639735282655,0.0001360264717345352,enriched,133,177,972,gene
CCDS106.1,12,0.14634146341463414,246,-0.23697539944700496,0.763024600552995,nonsignificant,11,12,82,gene
CCDS107.1,11,0.05759162303664921,573,0.9948897393391442,0.005110260660855866,nonsignificant,25,11,191,gene
CCDS108.1,37,0.13214285714285715,840,0.3647437040027517,0.6352562959972483,nonsignificant,40,37,280,gene
CCDS109.1,18,0.13333333333333333,405,-0.5614219739190003,0.4385780260809997,nonsignificant,15,18,135,gene
CCDS110.1,162,0.13798977853492334,3522,0.40974154868522805,0.590258451314772,nonsignificant,169,162,1174,gene
CCDS111.1,237,0.13382269904009034,5313,0.764969543413575,0.2350304565864249,nonsignificant,256,237,1771,gene
CCDS112.1,125,0.10831889081455806,3462,0.986934773235574,0.013065226764426004,nonsignificant,156,125,1154,gene
CCDS113.1,82,0.16942148760330578,1452,-0.95110015077809,0.04889984922190999,nonsignificant,66,82,484,gene
CCDS118.1,53,0.15963855421686746,996,-0.32862675945912734,0.6713732405408727,nonsignificant,50,53,332,gene
CCDS119.1,41,0.1524163568773234,807,-0.37350372565308887,0.6264962743469111,nonsignificant,38,41,269,gene
CCDS122.1,31,0.0746987951807229,1245,0.9858620305440885,0.014137969455911475,nonsignificant,48,31,415,gene
CCDS123.1,96,0.13973799126637554,2061,0.08087392046522146,0.9191260795347785,nonsignificant,97,96,687,gene
CCDS124.1,40,0.21505376344086022,558,-0.9989091648238747,0.0010908351761252995,enriched,24,40,186,gene
CCDS125.1,78,0.25742574257425743,909,-0.9999999981255315,1.8744684504065423e-09,enriched,40,78,303,gene
CCDS126.1,110,0.12775842044134728,2583,0.5906446731483541,0.4093553268516459,nonsignificant,119,110,861,gene
CCDS127.1,454,0.1780392156862745,7650,-0.9998830778329549,0.00011692216704504106,enriched,379,454,2550,gene
CCDS128.1,57,0.1642651296829971,1041,-0.992810482749835,0.00718951725016505,nonsignificant,40,57,347,gene
CCDS129.1,93,0.2743362831858407,1017,-0.9999956875315467,4.312468453366182e-06,enriched,58,93,339,gene
CCDS130.1,46,0.15488215488215487,891,-0.9370209487855445,0.0629790512144555,nonsignificant,35,46,297,gene
CCDS131.1,43,0.19111111111111112,675,-0.9182772477013408,0.08172275229865922,nonsignificant,33,43,225,gene
CCDS132.1,54,0.2109375,768,-0.9997434496169443,0.0002565503830557298,enriched,33,54,256,gene
CCDS133.1,68,0.23129251700680273,882,-0.9999904530801548,9.54691984523815e-06,enriched,40,68,294,gene
CCDS134.1,45,0.21226415094339623,636,-0.988078998503086,0.011921001496914012,nonsignificant,31,45,212,gene
CCDS135.1,74,0.21142857142857144,1050,-0.9987209716723164,0.0012790283276835727,enriched,51,74,350,gene
CCDS136.1,35,0.21875,480,-0.9224438332563346,0.07755616674366539,nonsignificant,26,35,160,gene
CCDS137.1,132,0.2009132420091324,1971,-0.9999904530801548,9.54691984523815e-06,enriched,90,132,657,gene
CCDS138.1,174,0.2,2610,-0.9999928821134461,7.117886553922736e-06,enriched,124,174,870,gene
CCDS139.1,31,0.20394736842105263,456,-0.9047071619765434,0.0952928380234566,nonsignificant,23,31,152,gene
CCDS140.1,28,0.2074074074074074,405,-0.9610525442579747,0.03894745574202525,nonsignificant,19,28,135,gene
CCDS141.1,150,0.23622047244094488,1905,-0.9999998501903136,1.4980968648578042e-07,enriched,98,150,635,gene
CCDS142.1,141,0.1936813186813187,2184,-0.999997635754415,2.3642455849683263e-06,enriched,95,141,728,gene
CCDS143.1,74,0.19023136246786632,1167,-0.8342133160189458,0.16578668398105428,nonsignificant,63,74,389,gene
CCDS144.1,135,0.22651006711409397,1788,-0.9998858287596817,0.00011417124031836804,enriched,97,135,596,gene
CCDS145.1,98,0.21212121212121213,1386,-0.9832965961528385,0.016703403847161527,nonsignificant,77,98,462,gene
CCDS146.1,72,0.2376237623762376,909,-0.9997342925290983,0.00026570747090166305,enriched,47,72,303,gene
CCDS147.1,32,0.1641025641025641,585,-0.5503082020311092,0.4496917979688908,nonsignificant,28,32,195,gene
CCDS148.1,83,0.17473684210526316,1425,-0.9493828219476823,0.05061717805231766,nonsignificant,67,83,475,gene
CCDS149.1,76,0.16,1425,-0.7284608641234328,0.2715391358765672,nonsignificant,67,76,475,gene
CCDS150.1,197,0.11460151250727167,5157,0.9996517721393202,0.0003482278606797448,depleted,254,197,1719,gene
CCDS154.1,47,0.18503937007874016,762,-0.855707944559899,0.14429205544010104,nonsignificant,38,47,254,gene
CCDS155.1,48,0.1991701244813278,723,-0.9977365301879648,0.0022634698120351806,enriched,31,48,241,gene
CCDS156.1,69,0.25650557620817843,807,-0.9999984435236255,1.5564763744776363e-06,enriched,39,69,269,gene
CCDS157.1,62,0.22962962962962963,810,-0.9989606369008664,0.001039363099133526,enriched,41,62,270,gene
CCDS158.1,66,0.15827338129496402,1251,-0.6378744605083376,0.3621255394916624,nonsignificant,59,66,417,gene
CCDS160.1,63,0.17847025495750707,1059,-0.6504251938767018,0.34957480612329817,nonsignificant,56,63,353,gene
CCDS161.1,55,0.0889967637540453,1854,0.9999186597192402,8.134028075983554e-05,depleted,93,55,618,gene
CCDS162.1,58,0.1901639344262295,915,-0.8510853268212384,0.14891467317876161,nonsignificant,48,58,305,gene
CCDS163.1,77,0.20588235294117646,1122,-0.9808911363552595,0.019108863644740508,nonsignificant,59,77,374,gene
CCDS164.1,509,0.138881309686221,10995,0.9980876803654278,0.0019123196345721448,depleted,584,509,3665,gene
CCDS165.1,149,0.1853233830845771,2412,-0.999920275529991,7.97244700090022e-05,enriched,108,149,804,gene
CCDS166.1,44,0.25882352941176473,510,-0.9946543231273457,0.005345676872654248,nonsignificant,29,44,170,gene
CCDS167.1,157,0.22819767441860464,2064,-0.9999651438171208,3.485618287927177e-05,enriched,113,157,688,gene
CCDS168.1,157,0.22819767441860464,2064,-0.9999873530908288,1.2646909171227555e-05,enriched,111,157,688,gene
CCDS169.1,221,0.2262026612077789,2931,-0.9999999999663249,3.3675116220388967e-11,enriched,142,221,977,gene
CCDS170.1,162,0.20174346201743462,2409,-0.9998739535498792,0.00012604645012081412,enriched,120,162,803,gene
CCDS171.1,48,0.18532818532818532,777,-0.7940967892679354,0.20590321073206466,nonsignificant,40,48,259,gene
CCDS172.1,78,0.16595744680851063,1410,-0.7214013281620405,0.2785986718379595,nonsignificant,69,78,470,gene
CCDS173.1,44,0.16666666666666666,792,-0.4729107431344619,0.5270892568655381,nonsignificant,40,44,264,gene
CCDS174.1,34,0.18478260869565216,552,-0.9587731666628362,0.041226833337163815,nonsignificant,24,34,184,gene
CCDS175.1,276,0.23370025402201525,3543,-0.9999999889834229,1.1016577097039444e-08,enriched,196,276,1181,gene
CCDS176.1,45,0.1601423487544484,843,-0.5708046995596507,0.42919530044034926,nonsignificant,40,45,281,gene
CCDS177.1,137,0.2057057057057057,1998,-0.999999638121217,3.61878783049026e-07,enriched,89,137,666,gene
CCDS178.1,119,0.17921686746987953,1992,-0.999398107385514,0.0006018926144859951,enriched,87,119,664,gene
CCDS179.1,124,0.18646616541353384,1995,-0.9997927346781272,0.00020726532187276327,enriched,89,124,665,gene
CCDS180.1,132,0.19879518072289157,1992,-0.9999695785434527,3.0421456547338772e-05,enriched,92,132,664,gene
CCDS181.1,86,0.16443594646271512,1569,-0.8369756156934337,0.16302438430656632,nonsignificant,74,86,523,gene
CCDS182.1,285,0.22265625,3840,-0.9999999999357151,6.428486357766824e-11,enriched,194,285,1280,gene
CCDS183.1,80,0.21798365122615804,1101,-0.9998967825585049,0.00010321744149513965,enriched,52,80,367,gene
CCDS184.1,118,0.25213675213675213,1404,-0.9999970227580187,2.9772419812761295e-06,enriched,77,118,468,gene
CCDS186.1,115,0.22072936660268713,1563,-0.9999088883788961,9.111162110385754e-05,enriched,80,115,521,gene
CCDS187.1,220,0.2619047619047619,2520,-0.9999999999999996,4.232136617425736e-16,enriched,128,220,840,gene
CCDS188.1,115,0.20390070921985815,1692,-0.998234904080621,0.0017650959193790507,enriched,86,115,564,gene
CCDS189.1,830,0.16010802469135801,15552,-0.9474361681120457,0.052563831887954375,nonsignificant,776,830,5184,gene
CCDS190.1,164,0.16498993963782696,2982,-0.7808711543565616,0.21912884564343832,nonsignificant,149,164,994,gene
CCDS191.1,32,0.13333333333333333,720,-0.5503082020311092,0.4496917979688908,nonsignificant,28,32,240,gene
CCDS193.1,68,0.20481927710843373,996,-0.99882021596212,0.001179784037879989,enriched,46,68,332,gene
CCDS194.1,79,0.21944444444444444,1080,-0.9998190495095625,0.00018095049043756332,enriched,52,79,360,gene
CCDS197.1,118,0.2675736961451247,1323,-0.9999606240356368,3.937596436316891e-05,enriched,81,118,441,gene
CCDS198.1,136,0.2141732283464567,1905,-0.999238718721545,0.0007612812784549283,enriched,102,136,635,gene
CCDS199.1,69,0.3026315789473684,684,-0.9999954667061643,4.5332938356574e-06,enriched,40,69,228,gene
CCDS200.1,28,0.1958041958041958,429,-0.9973002039367398,0.0026997960632601883,enriched,16,28,143,gene
CCDS201.1,21,0.14482758620689656,435,-0.6680245329172658,0.3319754670827342,nonsignificant,17,21,145,gene
CCDS202.1,22,0.15827338129496402,417,-0.9292988551340171,0.07070114486598289,nonsignificant,15,22,139,gene
CCDS203.1,21,0.14383561643835616,438,-0.8786647496415179,0.12133525035848208,nonsignificant,15,21,146,gene
CCDS205.1,42,0.1494661921708185,843,0.4446536833285779,0.5553463166714221,nonsignificant,46,42,281,gene
CCDS207.1,11,0.13924050632911392,237,-0.4950149249061543,0.5049850750938457,nonsignificant,9,11,79,gene
CCDS208.1,61,0.17280453257790368,1059,-0.9393980302879937,0.06060196971200623,nonsignificant,48,61,353,gene
CCDS209.1,86,0.2606060606060606,990,-0.9999975823186867,2.4176813133028368e-06,enriched,52,86,330,gene
CCDS210.1,32,0.21768707482993196,441,-0.9836226916585051,0.016377308341494895,nonsignificant,21,32,147,gene
CCDS211.1,110,0.18900343642611683,1746,-0.9394311397973424,0.060568860202657664,nonsignificant,92,110,582,gene
CCDS213.1,215,0.2087378640776699,3090,-0.9999996777981559,3.2220184411707507e-07,enriched,152,215,1030,gene
CCDS214.1,146,0.09205548549810845,4758,0.9999999993218938,6.781062296401581e-10,depleted,242,146,1586,gene
CCDS215.1,167,0.21660181582360571,2313,-0.9999999863144755,1.3685524504584084e-08,enriched,108,167,771,gene
CCDS216.1,73,0.11514195583596215,1902,0.269246665277987,0.730753334722013,nonsignificant,76,73,634,gene
CCDS217.1,114,0.21714285714285714,1575,-0.9999933103777738,6.6896222261718615e-06,enriched,75,114,525,gene
CCDS218.1,137,0.2063253012048193,1992,-0.999997288892425,2.711107574996001e-06,enriched,92,137,664,gene
CCDS219.1,74,0.2730627306273063,813,-0.9999997446501084,2.5534989161461907e-07,enriched,41,74,271,gene
CCDS220.1,72,0.2656826568265683,813,-0.9999995799606024,4.200393976022008e-07,enriched,40,72,271,gene
CCDS221.1,13,0.06770833333333333,576,0.9970328941013524,0.0029671058986476154,depleted,29,13,192,gene
CCDS222.1,15,0.078125,576,0.9906704152802285,0.00932958471977156,nonsignificant,29,15,192,gene
CCDS223.1,61,0.17329545454545456,1056,-0.9588593670279738,0.041140632972026185,nonsignificant,47,61,352,gene
CCDS224.1,171,0.13790322580645162,3720,0.060779227108384015,0.939220772891616,nonsignificant,172,171,1240,gene
CCDS225.1,268,0.2664015904572565,3018,-1.0,8.090614088099162e-19,enriched,157,268,1006,gene
CCDS226.1,51,0.2073170731707317,738,-0.9982720492258309,0.001727950774169049,enriched,33,51,246,gene
CCDS227.1,50,0.2032520325203252,738,-0.996916813909092,0.0030831860909079525,enriched,33,50,246,gene
CCDS230.1,232,0.23481781376518218,2964,-0.9999999999976285,2.371594861945071e-12,enriched,147,232,988,gene
CCDS231.1,131,0.34656084656084657,1134,-0.9999999999964295,3.570496250481911e-12,enriched,72,131,378,gene
CCDS232.1,38,0.05993690851735016,1902,0.9999806612768989,1.9338723101124873e-05,depleted,75,38,634,gene
CCDS233.1,45,0.09554140127388536,1413,0.6683149319431403,0.33168506805685966,nonsignificant,52,45,471,gene
CCDS235.1,162,0.17920353982300885,2712,-0.9973459706405177,0.0026540293594823415,enriched,128,162,904,gene
CCDS236.1,93,0.21232876712328766,1314,-0.9866716712191824,0.01332832878081758,nonsignificant,72,93,438,gene
CCDS237.1,26,0.21666666666666667,360,-0.8917063441009908,0.10829365589900916,nonsignificant,19,26,120,gene
CCDS238.1,29,0.16201117318435754,537,-0.6925658340726076,0.30743416592739237,nonsignificant,24,29,179,gene
CCDS240.1,30,0.14150943396226415,636,-0.4362971383492269,0.5637028616507731,nonsignificant,27,30,212,gene
CCDS241.1,52,0.22413793103448276,696,-0.9626270116593486,0.03737298834065144,nonsignificant,39,52,232,gene
CCDS242.1,55,0.15759312320916904,1047,-0.7567572942573465,0.2432427057426535,nonsignificant,47,55,349,gene
CCDS243.1,54,0.1656441717791411,978,-0.2184887050012866,0.7815112949987134,nonsignificant,52,54,326,gene
CCDS245.1,81,0.22437673130193905,1083,-0.9974726533471745,0.0025273466528254553,enriched,58,81,361,gene
CCDS246.1,11,0.07857142857142857,420,0.8543899046031371,0.1456100953968629,nonsignificant,17,11,140,gene
CCDS247.1,130,0.22608695652173913,1725,-0.9999565474384654,4.345256153459629e-05,enriched,91,130,575,gene
CCDS248.1,92,0.1765834932821497,1563,-0.9126247196592326,0.0873752803407674,nonsignificant,77,92,521,gene
CCDS249.1,87,0.17682926829268292,1476,-0.8986984186150735,0.10130158138492651,nonsignificant,73,87,492,gene
CCDS250.1,54,0.22040816326530613,735,-0.9948065402619253,0.005193459738074689,nonsignificant,37,54,245,gene
CCDS251.1,105,0.17269736842105263,1824,-0.9923392388648206,0.007660761135179461,nonsignificant,81,105,608,gene
CCDS253.1,34,0.11805555555555555,864,0.8300881582685118,0.16991184173148816,nonsignificant,43,34,288,gene
CCDS254.1,28,0.11570247933884298,726,0.5204998778130466,0.47950012218695337,nonsignificant,32,28,242,gene
CCDS255.1,96,0.10607734806629834,2715,0.9999970428410369,2.9571589631773765e-06,depleted,154,96,905,gene
CCDS256.1,31,0.1220472440944882,762,0.5010377013962389,0.49896229860376107,nonsignificant,35,31,254,gene
CCDS257.1,107,0.25721153846153844,1248,-0.9999977486522125,2.251347787483001e-06,enriched,68,107,416,gene
CCDS258.1,17,0.08415841584158416,606,0.9457081716331454,0.05429182836685469,nonsignificant,27,17,202,gene
CCDS259.1,18,0.07377049180327869,732,0.9804497309071144,0.019550269092885555,nonsignificant,31,18,244,gene
CCDS260.1,39,0.13402061855670103,873,0.6979717718902262,0.3020282281097738,nonsignificant,46,39,291,gene
CCDS262.1,70,0.1674641148325359,1254,-0.1916348440854897,0.8083651559145103,nonsignificant,68,70,418,gene
CCDS264.1,14,0.08860759493670886,474,0.9394311397973424,0.060568860202657664,nonsignificant,23,14,158,gene
CCDS265.1,145,0.22979397781299524,1893,-0.9999999987695175,1.230482482064986e-09,enriched,88,145,631,gene
CCDS266.1,39,0.10893854748603352,1074,0.8060691477175931,0.19393085228240695,nonsignificant,48,39,358,gene
CCDS267.1,72,0.207492795389049,1041,-0.990941825778527,0.009058174221473071,nonsignificant,53,72,347,gene
CCDS269.1,12,0.08,450,0.842700792949719,0.15729920705028105,nonsignificant,18,12,150,gene
CCDS270.1,54,0.13740458015267176,1179,-0.2184887050012866,0.7815112949987134,nonsignificant,52,54,393,gene
CCDS271.1,159,0.23485967503692762,2031,-0.9999947852737879,5.214726212033234e-06,enriched,111,159,677,gene
CCDS272.1,62,0.19135802469135801,972,-0.834482141302534,0.16551785869746605,nonsignificant,52,62,324,gene
CCDS273.1,60,0.1694915254237288,1062,-0.984138667260227,0.015861332739773026,nonsignificant,44,60,354,gene
CCDS274.1,33,0.09649122807017543,1026,0.9777290210407673,0.022270978959232735,nonsignificant,49,33,342,gene
CCDS276.1,137,0.19187675070028012,2142,-0.9973959929013896,0.002604007098610427,enriched,106,137,714,gene
CCDS277.1,95,0.12450851900393185,2289,0.6708860140213948,0.32911398597860525,nonsignificant,105,95,763,gene
CCDS278.1,22,0.23404255319148937,282,-0.9874450814030334,0.01255491859696653,nonsignificant,13,22,94,gene
CCDS280.1,33,0.15714285714285714,630,-0.8301894949144825,0.1698105050855175,nonsignificant,26,33,210,gene
CCDS281.1,45,0.13432835820895522,1005,-0.11983154509327454,0.8801684549067255,nonsignificant,44,45,335,gene
CCDS282.1,45,0.1347305389221557,1002,-0.11983154509327454,0.8801684549067255,nonsignificant,44,45,334,gene
CCDS283.1,7,0.07692307692307693,273,0.8510853268212384,0.14891467317876161,nonsignificant,12,7,91,gene
CCDS284.1,134,0.18206521739130435,2208,-0.9993261414686463,0.0006738585313537617,enriched,100,134,736,gene
CCDS285.1,371,0.16229221347331582,6858,-0.9437903321688086,0.0562096678311914,nonsignificant,336,371,2286,gene
CCDS287.1,71,0.1437246963562753,1482,0.27271767792852364,0.7272823220714764,nonsignificant,74,71,494,gene
CCDS288.1,57,0.2289156626506024,747,-0.9999200224871938,7.997751280618724e-05,enriched,34,57,249,gene
CCDS289.1,62,0.19935691318327975,933,-0.9962381768672056,0.003761823132794379,nonsignificant,43,62,311,gene
CCDS290.1,86,0.1634980988593156,1578,-0.9441707053607598,0.055829294639240266,nonsignificant,70,86,526,gene
CCDS291.1,63,0.2441860465116279,774,-0.998806254555128,0.0011937454448720044,enriched,42,63,258,gene
CCDS292.1,37,0.11144578313253012,996,-0.13236766522180732,0.8676323347781927,nonsignificant,36,37,332,gene
CCDS293.1,80,0.20050125313283207,1197,-0.9371881524839015,0.06281184751609843,nonsignificant,65,80,399,gene
CCDS295.1,212,0.25980392156862747,2448,-0.9999999999997283,2.716677103039798e-13,enriched,129,212,816,gene
CCDS296.1,121,0.17872968980797638,2031,-0.9989156975912544,0.0010843024087455909,enriched,90,121,677,gene
CCDS298.1,120,0.2177858439201452,1653,-0.999992255783569,7.744216431044088e-06,enriched,80,120,551,gene
CCDS299.1,241,0.186966640806827,3867,-0.995218284363032,0.00478171563696803,nonsignificant,201,241,1289,gene
CCDS300.1,48,0.16,900,-0.9294539995431341,0.07054600045686589,nonsignificant,37,48,300,gene
CCDS301.1,47,0.16262975778546712,867,-0.9332469848303658,0.06675301516963421,nonsignificant,36,47,289,gene
CCDS302.1,34,0.19540229885057472,522,-0.8833355352189766,0.11666446478102341,nonsignificant,26,34,174,gene
CCDS303.1,85,0.256797583081571,993,-0.9987511690119115,0.0012488309880884258,enriched,60,85,331,gene
CCDS304.1,62,0.12424849699398798,1497,0.9788361964513194,0.021163803548680648,nonsignificant,83,62,499,gene
CCDS305.1,96,0.1811320754716981,1590,-0.9894556694330273,0.010544330566972708,nonsignificant,74,96,530,gene
CCDS306.1,26,0.1984732824427481,393,-0.8202875051210041,0.17971249487899593,nonsignificant,20,26,131,gene
CCDS307.1,26,0.1925925925925926,405,-0.8202875051210041,0.17971249487899593,nonsignificant,20,26,135,gene
CCDS308.1,26,0.18705035971223022,417,-0.8202875051210041,0.17971249487899593,nonsignificant,20,26,139,gene
